City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
491,Northam,GB,55.38,overcast clouds,51.0333,-4.2167,Durrant House Hotel
495,Korla,CN,68.34,clear sky,41.7597,86.1469,Gulisitan Hotel
497,Ondjiva,AO,73.13,few clouds,-17.0667,15.7333,COMBUESA
498,Skibbereen,IE,58.87,overcast clouds,51.55,-9.2667,The West Cork Hotel
499,Yala,TH,74.48,overcast clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
500,Kaeo,NZ,64.33,light rain,-35.1,173.7833,Bushido Lodge
501,Mbengwi,CM,63.41,light rain,6.0167,10.0,Senate Hotel
502,Akyab,MM,78.73,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
503,Shirpur,IN,76.1,few clouds,21.35,74.8833,Hotel Atithi
505,Syracuse,IT,67.37,clear sky,37.0881,15.2792,Hotel Posta
509,Pahalgam,IN,50.58,clear sky,34.0333,75.3333,Grand Mumtaz Resorts Pahalgam
511,Stange,NO,51.17,overcast clouds,60.718,11.1942,Nyborg Rom & Camping
512,Bereda,ES,60.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
513,Narodychi,UA,51.73,overcast clouds,51.2029,29.0823,
515,Galesong,ID,71.62,scattered clouds,-5.3166,119.3661,Sapriadi Appy
516,Rocha,UY,54.0,clear sky,-34.4833,-54.3333,Hotel Arrarte
517,Barma,SL,71.08,light rain,8.35,-11.3333,
518,Thompson,CA,58.33,broken clouds,55.7435,-97.8558,Burntwood Hotel
520,Charters Towers,AU,70.86,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
521,Nantucket,US,68.11,clear sky,41.2835,-70.0995,Jared Coffin House
522,Bollnas,SE,51.82,overcast clouds,61.3482,16.3946,Grand Hotel
523,Malazgirt,TR,59.7,clear sky,39.1427,42.5401,malazgirt otel
525,Palmer,US,66.51,scattered clouds,42.1584,-72.3287,Wedgewood Motel
526,Hastings,GB,51.53,overcast clouds,50.8552,0.5729,Zanzibar Hotel
527,Aksu,CN,66.67,clear sky,41.1231,80.2644,Pudong Holiday Hotel
528,Arkhipo-Osipovka,RU,66.88,overcast clouds,44.37,38.52,Zolotoy Kashtan Guest House
529,Ketchikan,US,61.27,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
530,Takoradi,GH,74.93,light rain,4.8845,-1.7554,Raybow International Hotel
531,Nuevo Ideal,MX,66.38,overcast clouds,24.8875,-105.0728,Hotel Las Águilas
532,Namibe,AO,62.78,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
533,Ballina,AU,71.02,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
534,Chuguyevka,RU,54.28,clear sky,44.1653,133.8633,Svet V Okne
535,Anaconda,US,79.79,broken clouds,46.1285,-112.9423,Trade Wind Motel
537,Sumbe,AO,71.94,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
